Drug Name,Indication
Cetuximab,"Cetuximab indicated for the treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. It is indicated for treating a recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy with fluorouracil. It is indicated for recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.[L30448]

Cetuximab is also indicated for K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with FOLFIRI, a chemotherapy combination that includes [leucovorin], [fluorouracil], and [irinotecan]; in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy; or as monotherapy in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan.[L30448]

Additionally, cetuximab is also indicated for metastatic colorectal cancer that is BRAF V600E mutation-positive (as determined by an FDA-approved test) in combination with [encorafenib] but only after prior therapy.[L39045]

Cetuximab is not indicated for the treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown.[L30448]"
Leuprolide,"Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790] 

It is also used for the treatment of pediatric patients with central precocious puberty (CPP).[L13784, L13787] 

In combination with oral [norethisterone] (also known as norethindrone), leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L10310] Finally, in combination with iron supplementation, leuprolide is indicated for the preoperative hematological improvement of anemic patients with uterine leiomyomata (uterine fibroids).[L13814]"
Goserelin,"Goserelin is indicated for:

- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women"
Erythropoietin,"Indicated in adult and paediatric patients for the: 

- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery."
Pegfilgrastim,"Pegfilgrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non­ myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L44221]

It is also indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Subsyndrome of Acute Radiation Syndrome).[L44221]"
Sargramostim,For the treatment of cancer and bone marrow transplant
Thyrotropin alfa,For detection of residueal or recurrent thyroid cancer
Anakinra,"Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs). Anakinra can be used alone or in combination with DMARDs other than Tumor Necrosis Factor (TNF) blocking agents.[L35415]

Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA).[L35415] Anakinra is also used off-label for the treatment of several inflammatory diseases.[A247000]

The FDA has issued an emergency use authorization (EUA) for the emergency use of anakinra for the treatment of coronavirus disease 2019 (COVID-19) in hospitalized adults with positive results of direct SARS-CoV-2 viral testing with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure and likely to have an elevated plasma soluble urokinase plasminogen activator receptor (suPAR). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.[L43927]"
Oprelvekin,Indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in adult patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia.[Label]
Palifermin,For treatment of oral mucositis associated with chemotherapy and radiation therapy.
Aldesleukin,For treatment of adults with metastatic renal cell carcinoma.
Rasburicase,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)"
Gemtuzumab ozogamicin,Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory).
Indium In-111 satumomab pendetide,For diagnosis of extrahepatic malignant cancers
Trastuzumab,"For the adjuvant treatment of HER2-overexpressing breast cancer, trastuzumab is indicated in several clinical settings: as part of a treatment regimen consisting of doxorubicin, cyclophosphamide, and either paclitaxel or docetaxel; as part of a treatment regimen with docetaxel and carboplatin; or as monotherapy following multi-modality anthracycline-based therapy.[L14015]

Trastuzumab is indicated as a first-line treatment, in combination with paclitaxel, for metastatic HER2-overexpressing breast cancer, and as monotherapy in patients who have previously received one or more chemotherapy regimens in the metastatic setting.[L14015] In Europe, trastuzumab can also be used in combination with paclitaxel or docetaxel for the treatment of metastatic HER2-positive breast cancer in adult patients and with an aromatase inhibitor in postmenopausal patients.[L49324]

For HER2-positive early breast cancer, the EMA approved trastuzumab as monotherapy following surgery, chemotherapy (neoadjuvant or adjuvant), and radiation or following adjuvant chemotherapy with doxorubicin and cyclophosphamide in combination with paclitaxel or docetaxel. It can also be used in combination with adjuvant chemotherapy consisting of docetaxel and carboplatin or with neoadjuvant chemotherapy followed by adjuvant trastuzumab therapy for locally advanced (including inflammatory) disease or tumors > 2 cm in diameter.[L49324]

Trastuzumab is also indicated, in combination with cisplatin and capecitabine or 5-fluorouracil, for the treatment of patients with HER2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease by the FDA and EMA.[L14015]

Trastuzumab is indicated for subcutaneous administration - in combination with either [hyaluronidase][L14132] or both hyaluronidase and [pertuzumab][L14510] - for the treatment of adults with HER2-positive breast cancers."
Rituximab,"Rituximab is indicated for the treatment of adult patients with relapsed or refractory, low-grade or follicular, CD20-positive, B-cell non-Hodgkin’s Lymphoma (NHL) as a single agent. Also, it is indicated for the treatment of adult patients with previously untreated follicular, CD20-positive, B-cell NHL in combination with first line chemotherapy and, in patients achieving a complete or partial response to a rituximab product in combination with chemotherapy, as single-agent maintenance therapy.[L26641,L42025,L42030,L42035,L42040] Additionally, rituximab is indicated for the treatment of adult patients with non-progressing (including stable disease), low-grade, CD20-positive, B-cell NHL as a single agent after first-line cyclophosphamide, vincristine, and prednisone (CVP) chemotherapy; and previously untreated diffuse large B-cell, CD20-positive NHL in combination with cyclophosphamide, doxorubicin, vincristine, prednisone (CHOP) or other anthracycline-based chemotherapy regimens.[L26641,L42025,L42030,L42035,L42040]

Rituximab, in combination with fludarabine and cyclophosphamide (FC), is indicated for the treatment of adult patients with previously untreated and previously treated CD20-positive chronic lymphocytic leukemia (CLL).[L26641,L42025,L42030,L42035,L42040] In combination with methotrexate, rituximab is indicated for the treatment of adult patients with moderately-to severely-active rheumatoid arthritis who have had an inadequate response to one or more TNF antagonist therapies.[L26641,L42025,L42030,L42035] Additionally, rituximab, in combination with glucocorticoids, is indicated for the treatment of adult and pediatric patients 2 years of age and older with Granulomatosis with Polyangiitis (GPA) (Wegener’s Granulomatosis) and Microscopic Polyangiitis (MPA).[L26641,L42025,L42030,L42035]

RITUXAN (rituximab injection for intravenous use) is indicated for the treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy; as well as the treatment of adult patients with moderate to severe pemphigus vulgaris.[L26641] These indications for RITUXAN are not included in the labels of rituximab biosimilar products (rituximab-arrx, rituximab-abbs, rituximab-pvvr).[L42025,L42030,L42035] The combination product RITUXAN HYCELA (rituximab and hyaluronidase human injection, for subcutaneous use) is not indicated for the treatment of non-malignant conditions.[L42040]"
Capromab pendetide,For diagnosis of prostate cancer and detection of intra-pelvic metastases.
Filgrastim,"Filgrastim is indicated to decrease the incidence of infection‚ as manifested by febrile neutropenia‚ in patients with nonmyeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a significant incidence of severe neutropenia with fever.[L40714]

Filgrastim is indicated for reducing the time to neutrophil recovery and the duration of fever, following induction or consolidation chemotherapy treatment of patients with acute myeloid leukemia.[L40714]

Filgrastim is indicated to reduce the duration of neutropenia and neutropenia-related clinical sequelae‚ e.g.‚ febrile neutropenia, in patients with nonmyeloid malignancies undergoing myeloablative chemotherapy followed by bone marrow transplantation.[L40714]

Filgrastim is indicated for the mobilization of autologous hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis.[L40714]

Filgrastim is indicated for chronic administration to reduce the incidence and duration of sequelae of neutropenia (e.g.‚ fever‚ infections‚ oropharyngeal ulcers) in symptomatic patients with congenital neutropenia‚ cyclic neutropenia‚ or idiopathic neutropenia.[L40714]

Filgrastim is indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation.[L40714]"
Octreotide,"Octreotide by injection is used for the treatment of acromegaly and the reduction of flushing and diarrhea symptoms related to carcinoid tumors and/or vasoactive intestinal peptide (VIPoma) tumors.[L14513] The delayed-release oral formulation is used for the long-term treatment of acromegaly in patients who tolerate and respond adequately to injectable octreotide and [lanreotide].[L14507,L45528]"
Abarelix,For palliative treatment of advanced prostate cancer.
Bevacizumab,"As a vascular endothelial growth factor (VEGF) inhibitor, bevacizumab is used in several chemotherapy regimens to treat metastatic colorectal cancer; metastatic, unresectable, locally advanced or recurrent non-squamous non-small cell lung cancer; metastatic renal cell carcinoma; metastatic, persistent, or recurrent cervical cancer; primary peritoneal cancer; epithelial ovarian cancer; fallopian tube cancer; breast cancer; and recurrent glioblastoma.[L12648,L39233,L41514,L43130,L43302,L49826]

Interestingly, bevacizumab is currently under investigation for the treatment of COVID-19 complications including acute respiratory distress syndrome (ARDS) and acute lung injury (ALI).[L12699]"
Technetium Tc-99m arcitumomab,For imaging colorectal tumors
Masoprocol,Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).
Lorazepam,"Lorazepam is FDA-approved for the short-term relief of anxiety symptoms related to anxiety disorders and anxiety associated with depressive symptoms such as anxiety-associated insomnia. It is as well used as an anesthesia premedication in adults to relieve anxiety or to produce sedation/amnesia and for the treatment of status epilepticus.[T385]

Some off-label indications of lorazepam include rapid tranquilization of an agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, muscle spasms, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting, and psychogenic catatonia.[T385]"
Fluconazole,"Fluconazole can be administered in the treatment of the following fungal infections[L11043]:

 1) Vaginal yeast infections caused by Candida
 2) Systemic Candida infections
 3) Both esophageal and oropharyngeal candidiasis 
 4) Cryptococcal meningitis
 5) UTI (urinary tract infection) by Candida
 6) Peritonitis (inflammation of the peritoneum) caused by Candida

**A note on fungal infection prophylaxis**

Patients receiving bone marrow transplantation who are treated with cytotoxic chemotherapy and/or radiation therapy may be predisposed to candida infections, and may receive fluconazole as prophylactic therapy.[L11043]

**A note on laboratory testing**

Obtaining specimens for fungal culture and other important laboratory studies such as serology or pathology is advised before starting fluconazole therapy in order to isolate the organisms to be eliminated through treatment. It is permissible to start therapy before the results are available, however, adjusting the therapy once laboratory results confirm the causative organism may be necessary.[L11043]"
Hydroxocobalamin,"For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning."
Diethylstilbestrol,Used in the treatment of prostate cancer. Previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery.
